0	-10.3267930721618
0	11.4358726507435
nan	nan
318	-10.3267930721618
318	11.4358726507435
nan	nan
590	-10.3267930721618
590	11.4358726507435
nan	nan
989	-10.3267930721618
989	11.4358726507435
nan	nan
1195	-10.3267930721618
1195	11.4358726507435
nan	nan
1497	-10.3267930721618
1497	11.4358726507435
nan	nan
1773	-10.3267930721618
1773	11.4358726507435
nan	nan
2184	-10.3267930721618
2184	11.4358726507435
nan	nan
2436	-10.3267930721618
2436	11.4358726507435
nan	nan
2722	-10.3267930721618
2722	11.4358726507435
nan	nan
3027	-10.3267930721618
3027	11.4358726507435
