latitude,longitude,corrected distance
-12.4345649304874,130.842361450195,0
-12.4242659293955,130.887182462081,4708.99339847365
-12.4361810463974,130.931582159414,9367.97524627765
-12.460653958364,130.970214167744,13995.3128134112
-12.485811186102,131.008385619122,19365.9729187233
-12.5216291687107,131.036231210724,24482.4465486763
-12.5544866631226,131.067679400802,29697.129524191
-12.598805614343,131.075467904661,35039.0781230701
-12.6437491707735,131.07692629206,39862.4189157765
-12.6883544415518,131.082753351882,45261.422871493
-12.732901661947,131.089030480803,50985.9709124323
-12.7725318754029,131.1108148561,56067.8134369105
-12.8147613996907,131.126655587642,60421.4291381033
-12.8574867994755,131.141033128037,65442.6212544619
-12.902383983251,131.138480542244,70770.9766997534
-12.9454918439264,131.125354269751,76194.4521730523
-12.9900819492455,131.119399532325,80665.5776228664
-13.0350379831249,131.118423945504,85951.6109799981
-13.0785082542294,131.106616693058,91519.651598623
-13.12345085539,131.108108502069,96311.0231751065
-13.1682615476021,131.104272897199,102370.651091918
-13.213120862289,131.101092047807,106797.15391598
-13.2482050024118,131.129984698308,111967.295008396
-13.2777660455001,131.164798066346,117791.483437768
-13.3027526093666,131.203212411207,122648.543583332
-13.3466836183008,131.213070418977,127588.550830106
-13.3791053732574,131.245095067032,133109.395411851
-13.4060550836335,131.282097997392,138291.677754753
-13.4393152425374,131.313209147426,143388.000940013
-13.4714766903609,131.345522457136,149266.855908809
-13.5039776806018,131.377483641875,153984.225253339
-13.5364786708427,131.409444826614,159714.394687948
-13.5689796610836,131.441406011353,164165.104261401
-13.5697949814516,131.487655700923,170047.91498298
-13.5999667532098,131.521957240715,176007.03757403
-13.6301826427084,131.556221282581,182520.648110202
-13.6241632009696,131.602073323695,186467.22184718
-13.6386127548713,131.645889152706,191646.621324135
-13.6640436686979,131.684051416002,196732.089889725
-13.7073421935832,131.696538403751,202985.418971582
-13.7387377446278,131.729676914124,207179.339257502
-13.7626125761101,131.768906370037,211981.555365358
-13.7943043720084,131.801751985877,217379.04547034
-13.8197937399848,131.8398990427,222207.854011907
-13.8646989536649,131.842307950599,227432.095360383
-13.908156435048,131.854206112408,232859.953338684
-13.9387557702448,131.888154315805,240020.564611729
-13.9758144538072,131.914397700701,243375.269383393
-14.0153228954579,131.936527334751,247794.098221407
-14.0523366484129,131.962848307343,252970.310587796
-14.0893504013679,131.989169279934,258082.585189586
-14.1339121800074,131.995373210289,263204.428372511
-14.1720115537667,132.020005025444,269050.884453384
-14.2130757990377,132.038903906157,273406.037449559
-14.2527890825891,132.060662685374,278682.132529045
-14.2942464757839,132.078631622058,284058.143077171
-14.3252037056783,132.112289607254,289626.728489394
-14.3613720730568,132.139867266734,294335.445375685
-14.387394030321,132.177724567859,299208.890415897
-14.4185575787264,132.211192521904,304571.604987942
-14.4499522969772,132.244433830285,310303.328238468
-14.4728393174633,132.284406479092,315019.268313864
-14.4864798877763,132.328659850324,320151.044012813
-14.4809120973036,132.374744271601,325412.00970246
-14.4992232796595,132.417162820972,330728.16409354
-14.5405818049464,132.435392686199,335871.468220796
-14.5676747775351,132.472471795073,342993.217555397
-14.5835374666841,132.515947026337,345981.744250476
-14.6027756363786,132.557946029625,351010.025107172
-14.6257283981689,132.597909057477,355938.808441899
-14.6486811599592,132.637872085329,362353.022747224
-14.67451922922,132.675912912705,366047.017805729
-14.689978316614,132.719566011187,372024.019669166
-14.7054374040079,132.76321910967,376647.485053128
-14.716050177299,132.808396527097,381835.130342124
-14.7487108302749,132.840355043698,386758.594225147
-14.7729969818469,132.879490569574,392132.62327146
-14.7963184507873,132.919253244103,396968.163842307
