,lat,lon,Wind_mean,Wind_90th,Wind_max,Wind_dir,Wind_dir_std,T_mean,T_90th,T_10th,Rad_down_mean,Rad_down_90th,Rad_down_10th
0,-12.434564930487374,130.84236145019534,1.7847282,3.040392971038818,6.075684,153.31493,109.52579,29.178589,30.358569335937545,27.895043945312523,1076162.1,1258073.5999999999,869689.6
1,-12.42426592939552,130.88718246208066,1.5320319,2.583297371864319,5.3137264,149.49203,106.69116,29.462097,30.629077148437545,28.151953125000034,1096988.9,1276787.2,892172.8
2,-12.436181046397415,130.93158215941398,1.5320319,2.583297371864319,5.3137264,149.49203,106.69116,29.462097,30.629077148437545,28.151953125000034,1096988.9,1276787.2,892172.8
3,-12.46065395836403,130.97021416774402,1.5320319,2.583297371864319,5.3137264,149.49203,106.69116,29.462097,30.629077148437545,28.151953125000034,1096988.9,1276787.2,892172.8
4,-12.48581118610197,131.00838561912224,1.5320319,2.583297371864319,5.3137264,149.49203,106.69116,29.462097,30.629077148437545,28.151953125000034,1096988.9,1276787.2,892172.8
5,-12.521629168710652,131.03623121072388,1.5320319,2.583297371864319,5.3137264,149.49203,106.69116,29.462097,30.629077148437545,28.151953125000034,1096988.9,1276787.2,892172.8
6,-12.554486663122628,131.06767940080235,1.5320319,2.583297371864319,5.3137264,149.49203,106.69116,29.462097,30.629077148437545,28.151953125000034,1096988.9,1276787.2,892172.8
7,-12.598805614343046,131.07546790466077,1.5320319,2.583297371864319,5.3137264,149.49203,106.69116,29.462097,30.629077148437545,28.151953125000034,1096988.9,1276787.2,892172.8
8,-12.643749170773456,131.07692629205968,1.4814174,2.566570711135864,5.3790402,160.9216,114.74202,29.26535,30.40876464843751,27.943261718750023,1098292.1,1280377.5999999999,869753.6
9,-12.688354441551835,131.08275335188154,1.4814174,2.566570711135864,5.3790402,160.9216,114.74202,29.26535,30.40876464843751,27.943261718750023,1098292.1,1280377.5999999999,869753.6
10,-12.732901661947013,131.08903048080333,1.4814174,2.566570711135864,5.3790402,160.9216,114.74202,29.26535,30.40876464843751,27.943261718750023,1098292.1,1280377.5999999999,869753.6
11,-12.772531875402882,131.1108148561,1.4814174,2.566570711135864,5.3790402,160.9216,114.74202,29.26535,30.40876464843751,27.943261718750023,1098292.1,1280377.5999999999,869753.6
12,-12.81476139969067,131.1266555876419,1.4459239,2.4414528608322144,5.3168797,155.17453,113.95506,29.479248,30.6077880859375,28.189624023437545,1115961.5,1294668.8,892172.8
13,-12.857486799475543,131.14103312803738,1.4459239,2.4414528608322144,5.3168797,155.17453,113.95506,29.479248,30.6077880859375,28.189624023437545,1115961.5,1294668.8,892172.8
14,-12.90238398325096,131.13848054224357,1.4852909,2.504710292816162,5.465461,162.27957,120.23746,29.53711,30.710131835937545,28.201440429687523,1123171.6,1309977.5999999999,888768.0
15,-12.945491843926352,131.12535426975052,1.4852909,2.504710292816162,5.465461,162.27957,120.23746,29.53711,30.710131835937545,28.201440429687523,1123171.6,1309977.5999999999,888768.0
16,-12.990081949245486,131.11939953232545,1.5105025,2.578162121772766,5.448232,170.58824,119.47343,29.170074,30.336279296875034,27.914038085937534,1102836.9,1288736.0,865273.6
17,-13.035037983124866,131.11842394550408,1.5105025,2.578162121772766,5.448232,170.58824,119.47343,29.170074,30.336279296875034,27.914038085937534,1102836.9,1288736.0,865273.6
18,-13.078508254229446,131.10661669305802,1.5105025,2.578162121772766,5.448232,170.58824,119.47343,29.170074,30.336279296875034,27.914038085937534,1102836.9,1288736.0,865273.6
19,-13.123450855390002,131.108108502069,1.5105025,2.578162121772766,5.448232,170.58824,119.47343,29.170074,30.336279296875034,27.914038085937534,1102836.9,1288736.0,865273.6
20,-13.168261547602135,131.10427289719925,1.6222677,2.6824559211730956,5.4281244,184.52872,123.29943,29.115387,30.264086914062545,27.81599121093751,1105750.2,1292153.6,870304.0
21,-13.213120862289037,131.10109204780682,1.6222677,2.6824559211730956,5.4281244,184.52872,123.29943,29.115387,30.264086914062545,27.81599121093751,1105750.2,1292153.6,870304.0
22,-13.248205002411762,131.1299846983081,1.5826529,2.608718705177307,5.5366006,174.89397,125.25047,29.443756,30.633715820312545,28.080126953125045,1126848.0,1312160.0,903238.4
23,-13.27776604550012,131.1647980663465,1.5826529,2.608718705177307,5.5366006,174.89397,125.25047,29.443756,30.633715820312545,28.080126953125045,1126848.0,1312160.0,903238.4
24,-13.302752609366626,131.2032124112069,1.5826529,2.608718705177307,5.5366006,174.89397,125.25047,29.443756,30.633715820312545,28.080126953125045,1126848.0,1312160.0,903238.4
25,-13.346683618300808,131.2130704189772,1.5826529,2.608718705177307,5.5366006,174.89397,125.25047,29.443756,30.633715820312545,28.080126953125045,1126848.0,1312160.0,903238.4
26,-13.379105373257442,131.24509506703163,1.6966316,2.728658103942871,5.5596895,191.62816,128.12628,29.209137,30.427001953125,27.79548339843751,1130631.5,1317536.0,899078.4
27,-13.406055083633465,131.28209799739156,1.6966316,2.728658103942871,5.5596895,191.62816,128.12628,29.209137,30.427001953125,27.79548339843751,1130631.5,1317536.0,899078.4
28,-13.43931524253738,131.313209147426,1.6966316,2.728658103942871,5.5596895,191.62816,128.12628,29.209137,30.427001953125,27.79548339843751,1130631.5,1317536.0,899078.4
29,-13.471476690360925,131.3455224571361,1.6966316,2.728658103942871,5.5596895,191.62816,128.12628,29.209137,30.427001953125,27.79548339843751,1130631.5,1317536.0,899078.4
30,-13.50397768060182,131.37748364187516,1.696948,2.7460211038589475,5.7046094,184.62067,130.24896,29.1857,30.453784179687545,27.7357177734375,1153205.4,1341036.8,917593.6
