,lat,lon,Wind_mean,Wind_90th,Wind_dir,Wind_dir_90th,Wind_dir_10th,T_mean,T_90th,T_10th
0,-12.434564930487374,130.84236145019534,3.377106,5.343140983581543,225.30936,346.0124481201172,18.859507751464847,27.61435,28.636035156250045,26.49238281250001
1,-12.42426592939552,130.88718246208066,3.377106,5.343140983581543,225.30936,346.0124481201172,18.859507751464847,27.61435,28.636035156250045,26.49238281250001
2,-12.436181046397415,130.93158215941398,3.377106,5.343140983581543,225.30936,346.0124481201172,18.859507751464847,27.61435,28.636035156250045,26.49238281250001
3,-12.46065395836403,130.97021416774402,3.377106,5.343140983581543,225.30936,346.0124481201172,18.859507751464847,27.61435,28.636035156250045,26.49238281250001
4,-12.48581118610197,131.00838561912224,3.377106,5.343140983581543,225.30936,346.0124481201172,18.859507751464847,27.61435,28.636035156250045,26.49238281250001
5,-12.521629168710652,131.03623121072388,3.377106,5.343140983581543,225.30936,346.0124481201172,18.859507751464847,27.61435,28.636035156250045,26.49238281250001
6,-12.554486663122628,131.06767940080235,3.377106,5.343140983581543,225.30936,346.0124481201172,18.859507751464847,27.61435,28.636035156250045,26.49238281250001
7,-12.598805614343046,131.07546790466077,3.377106,5.343140983581543,225.30936,346.0124481201172,18.859507751464847,27.61435,28.636035156250045,26.49238281250001
8,-12.643749170773456,131.07692629205968,3.469408,5.518814277648926,232.0751,345.6849822998047,19.940494537353526,27.693054,28.74689941406251,26.5419921875
9,-12.688354441551835,131.08275335188154,3.469408,5.518814277648926,232.0751,345.6849822998047,19.940494537353526,27.693054,28.74689941406251,26.5419921875
10,-12.732901661947013,131.08903048080333,3.469408,5.518814277648926,232.0751,345.6849822998047,19.940494537353526,27.693054,28.74689941406251,26.5419921875
11,-12.772531875402882,131.1108148561,3.469408,5.518814277648926,232.0751,345.6849822998047,19.940494537353526,27.693054,28.74689941406251,26.5419921875
12,-12.81476139969067,131.1266555876419,3.469408,5.518814277648926,232.0751,345.6849822998047,19.940494537353526,27.693054,28.74689941406251,26.5419921875
13,-12.857486799475543,131.14103312803738,3.469408,5.518814277648926,232.0751,345.6849822998047,19.940494537353526,27.693054,28.74689941406251,26.5419921875
14,-12.90238398325096,131.13848054224357,3.2118635,4.939850664138794,236.88068,346.4983825683594,19.769083404541018,27.275421,28.32307128906251,26.12214355468751
15,-12.945491843926352,131.12535426975052,3.2118635,4.939850664138794,236.88068,346.4983825683594,19.769083404541018,27.275421,28.32307128906251,26.12214355468751
16,-12.990081949245486,131.11939953232545,3.2118635,4.939850664138794,236.88068,346.4983825683594,19.769083404541018,27.275421,28.32307128906251,26.12214355468751
17,-13.035037983124866,131.11842394550408,3.2118635,4.939850664138794,236.88068,346.4983825683594,19.769083404541018,27.275421,28.32307128906251,26.12214355468751
18,-13.078508254229446,131.10661669305802,3.2118635,4.939850664138794,236.88068,346.4983825683594,19.769083404541018,27.275421,28.32307128906251,26.12214355468751
19,-13.123450855390002,131.108108502069,3.2118635,4.939850664138794,236.88068,346.4983825683594,19.769083404541018,27.275421,28.32307128906251,26.12214355468751
20,-13.168261547602135,131.10427289719925,3.300969,5.049030447006225,244.08904,346.84112243652345,23.47871780395508,27.345123,28.420556640625023,26.214404296875045
21,-13.213120862289037,131.10109204780682,3.300969,5.049030447006225,244.08904,346.84112243652345,23.47871780395508,27.345123,28.420556640625023,26.214404296875045
22,-13.248205002411762,131.1299846983081,3.300969,5.049030447006225,244.08904,346.84112243652345,23.47871780395508,27.345123,28.420556640625023,26.214404296875045
23,-13.27776604550012,131.1647980663465,3.300969,5.049030447006225,244.08904,346.84112243652345,23.47871780395508,27.345123,28.420556640625023,26.214404296875045
24,-13.302752609366626,131.2032124112069,3.300969,5.049030447006225,244.08904,346.84112243652345,23.47871780395508,27.345123,28.420556640625023,26.214404296875045
25,-13.346683618300808,131.2130704189772,3.300969,5.049030447006225,244.08904,346.84112243652345,23.47871780395508,27.345123,28.420556640625023,26.214404296875045
26,-13.379105373257442,131.24509506703163,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
27,-13.406055083633465,131.28209799739156,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
28,-13.43931524253738,131.313209147426,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
29,-13.471476690360925,131.3455224571361,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
30,-13.50397768060182,131.37748364187516,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
31,-13.53647867084272,131.40944482661422,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
32,-13.568979661083617,131.44140601135328,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
33,-13.569794981451569,131.48765570092348,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
34,-13.599966753209795,131.52195724071453,2.6657655,4.036684322357178,244.22633,348.6167388916016,28.993566513061527,26.434052,27.622094726562523,25.13251953125001
35,-13.630182642708409,131.55622128258054,1.7258805,2.610377240180969,222.81836,345.71083374023436,22.212588500976562,25.047089,26.6304931640625,23.322021484375
