,lat,lon,Wind_mean,Wind_90th,Wind_dir,Wind_dir_90th,Wind_dir_10th,T_mean,T_90th,T_10th,Rad_down_mean,Rad_down_90th
0,-12.434564930487374,130.84236145019534,3.188408,5.118078660964966,184.29735,340.74456787109375,19.409281921386725,27.564453,28.57807617187501,26.434790039062534,990.25806,3136.0
1,-12.42426592939552,130.88718246208066,3.188408,5.118078660964966,184.29735,340.74456787109375,19.409281921386725,27.564453,28.57807617187501,26.434790039062534,990.25806,3136.0
2,-12.436181046397415,130.93158215941398,3.188408,5.118078660964966,184.29735,340.74456787109375,19.409281921386725,27.564453,28.57807617187501,26.434790039062534,990.25806,3136.0
3,-12.46065395836403,130.97021416774402,3.188408,5.118078660964966,184.29735,340.74456787109375,19.409281921386725,27.564453,28.57807617187501,26.434790039062534,990.25806,3136.0
4,-12.48581118610197,131.00838561912224,3.188408,5.118078660964966,184.29735,340.74456787109375,19.409281921386725,27.564453,28.57807617187501,26.434790039062534,990.25806,3136.0
5,-12.521629168710652,131.03623121072388,3.188408,5.118078660964966,184.29735,340.74456787109375,19.409281921386725,27.564453,28.57807617187501,26.434790039062534,990.25806,3136.0
6,-12.554486663122628,131.06767940080235,3.188408,5.118078660964966,184.29735,340.74456787109375,19.409281921386725,27.564453,28.57807617187501,26.434790039062534,990.25806,3136.0
7,-12.598805614343046,131.07546790466077,3.188408,5.118078660964966,184.29735,340.74456787109375,19.409281921386725,27.564453,28.57807617187501,26.434790039062534,990.25806,3136.0
8,-12.643749170773456,131.07692629205968,3.2288828,5.141591453552246,196.33147,343.12750549316405,22.89567108154297,27.590057,28.649755859375034,26.3885498046875,1046.7097,3264.0
9,-12.688354441551835,131.08275335188154,3.2288828,5.141591453552246,196.33147,343.12750549316405,22.89567108154297,27.590057,28.649755859375034,26.3885498046875,1046.7097,3264.0
10,-12.732901661947013,131.08903048080333,3.2288828,5.141591453552246,196.33147,343.12750549316405,22.89567108154297,27.590057,28.649755859375034,26.3885498046875,1046.7097,3264.0
11,-12.772531875402882,131.1108148561,3.2288828,5.141591453552246,196.33147,343.12750549316405,22.89567108154297,27.590057,28.649755859375034,26.3885498046875,1046.7097,3264.0
12,-12.81476139969067,131.1266555876419,3.2288828,5.141591453552246,196.33147,343.12750549316405,22.89567108154297,27.590057,28.649755859375034,26.3885498046875,1046.7097,3264.0
13,-12.857486799475543,131.14103312803738,3.2288828,5.141591453552246,196.33147,343.12750549316405,22.89567108154297,27.590057,28.649755859375034,26.3885498046875,1046.7097,3264.0
14,-12.90238398325096,131.13848054224357,2.9579954,4.626772832870484,199.53865,343.84300842285154,18.45949401855469,27.170654,28.247827148437523,25.999169921875023,1112.4517,3449.5999999999985
15,-12.945491843926352,131.12535426975052,2.9579954,4.626772832870484,199.53865,343.84300842285154,18.45949401855469,27.170654,28.247827148437523,25.999169921875023,1112.4517,3449.5999999999985
16,-12.990081949245486,131.11939953232545,2.9579954,4.626772832870484,199.53865,343.84300842285154,18.45949401855469,27.170654,28.247827148437523,25.999169921875023,1112.4517,3449.5999999999985
17,-13.035037983124866,131.11842394550408,2.9579954,4.626772832870484,199.53865,343.84300842285154,18.45949401855469,27.170654,28.247827148437523,25.999169921875023,1112.4517,3449.5999999999985
18,-13.078508254229446,131.10661669305802,2.9579954,4.626772832870484,199.53865,343.84300842285154,18.45949401855469,27.170654,28.247827148437523,25.999169921875023,1112.4517,3449.5999999999985
19,-13.123450855390002,131.108108502069,2.9579954,4.626772832870484,199.53865,343.84300842285154,18.45949401855469,27.170654,28.247827148437523,25.999169921875023,1112.4517,3449.5999999999985
20,-13.168261547602135,131.10427289719925,3.0408642,4.762509393692016,207.48376,343.32862854003906,18.715695953369142,27.1987,28.338671875000045,26.0501708984375,1170.7097,3584.0
21,-13.213120862289037,131.10109204780682,3.0408642,4.762509393692016,207.48376,343.32862854003906,18.715695953369142,27.1987,28.338671875000045,26.0501708984375,1170.7097,3584.0
22,-13.248205002411762,131.1299846983081,3.0408642,4.762509393692016,207.48376,343.32862854003906,18.715695953369142,27.1987,28.338671875000045,26.0501708984375,1170.7097,3584.0
23,-13.27776604550012,131.1647980663465,3.0408642,4.762509393692016,207.48376,343.32862854003906,18.715695953369142,27.1987,28.338671875000045,26.0501708984375,1170.7097,3584.0
24,-13.302752609366626,131.2032124112069,3.0408642,4.762509393692016,207.48376,343.32862854003906,18.715695953369142,27.1987,28.338671875000045,26.0501708984375,1170.7097,3584.0
25,-13.346683618300808,131.2130704189772,3.0408642,4.762509393692016,207.48376,343.32862854003906,18.715695953369142,27.1987,28.338671875000045,26.0501708984375,1170.7097,3584.0
26,-13.379105373257442,131.24509506703163,2.4555674,3.826262640953064,201.94713,341.5112670898437,18.429127502441407,26.366272,27.57172851562501,25.087451171875045,1248.3226,3776.0
27,-13.406055083633465,131.28209799739156,2.4555674,3.826262640953064,201.94713,341.5112670898437,18.429127502441407,26.366272,27.57172851562501,25.087451171875045,1248.3226,3776.0
28,-13.43931524253738,131.313209147426,2.4555674,3.826262640953064,201.94713,341.5112670898437,18.429127502441407,26.366272,27.57172851562501,25.087451171875045,1248.3226,3776.0
29,-13.471476690360925,131.3455224571361,2.4555674,3.826262640953064,201.94713,341.5112670898437,18.429127502441407,26.366272,27.57172851562501,25.087451171875045,1248.3226,3776.0
30,-13.50397768060182,131.37748364187516,2.4555674,3.826262640953064,201.94713,341.5112670898437,18.429127502441407,26.366272,27.57172851562501,25.087451171875045,1248.3226,3776.0
