,lat,lon,Wind_mean,Wind_90th,Wind_max,Wind_dir,Wind_dir_std,T_mean,T_90th,T_10th,Rad_down_mean,Rad_down_90th,Rad_down_10th
0,-12.434564930487374,130.84236145019534,1.5914578,2.3091784954071044,5.769979,140.08115,105.69394,24.454224,25.968603515625034,22.695556640625,2197.6128,6009.5999999999985,0.0
1,-12.42426592939552,130.88718246208066,1.259211,1.9558087706565854,4.7209044,144.098,104.616776,24.258423,25.799072265625,22.509863281250034,2812.6453,7360.0,0.0
2,-12.436181046397415,130.93158215941398,1.259211,1.9558087706565854,4.7209044,144.098,104.616776,24.258423,25.799072265625,22.509863281250034,2812.6453,7360.0,0.0
3,-12.46065395836403,130.97021416774402,1.259211,1.9558087706565854,4.7209044,144.098,104.616776,24.258423,25.799072265625,22.509863281250034,2812.6453,7360.0,0.0
4,-12.48581118610197,131.00838561912224,1.259211,1.9558087706565854,4.7209044,144.098,104.616776,24.258423,25.799072265625,22.509863281250034,2812.6453,7360.0,0.0
5,-12.521629168710652,131.03623121072388,1.259211,1.9558087706565854,4.7209044,144.098,104.616776,24.258423,25.799072265625,22.509863281250034,2812.6453,7360.0,0.0
6,-12.554486663122628,131.06767940080235,1.259211,1.9558087706565854,4.7209044,144.098,104.616776,24.258423,25.799072265625,22.509863281250034,2812.6453,7360.0,0.0
7,-12.598805614343046,131.07546790466077,1.259211,1.9558087706565854,4.7209044,144.098,104.616776,24.258423,25.799072265625,22.509863281250034,2812.6453,7360.0,0.0
8,-12.643749170773456,131.07692629205968,1.1700732,1.8658027172088623,4.9307575,147.20024,113.70345,24.619751,25.983911132812523,23.062915039062545,2919.3547,7552.0,0.0
9,-12.688354441551835,131.08275335188154,1.1700732,1.8658027172088623,4.9307575,147.20024,113.70345,24.619751,25.983911132812523,23.062915039062545,2919.3547,7552.0,0.0
10,-12.732901661947013,131.08903048080333,1.1700732,1.8658027172088623,4.9307575,147.20024,113.70345,24.619751,25.983911132812523,23.062915039062545,2919.3547,7552.0,0.0
11,-12.772531875402882,131.1108148561,1.1700732,1.8658027172088623,4.9307575,147.20024,113.70345,24.619751,25.983911132812523,23.062915039062545,2919.3547,7552.0,0.0
12,-12.81476139969067,131.1266555876419,1.1351138,1.8031745672225952,4.6901307,158.00906,118.85548,24.951416,26.39594726562501,23.32416992187501,3633.5483,9209.599999999999,0.0
13,-12.857486799475543,131.14103312803738,1.1351138,1.8031745672225952,4.6901307,158.00906,118.85548,24.951416,26.39594726562501,23.32416992187501,3633.5483,9209.599999999999,0.0
14,-12.90238398325096,131.13848054224357,1.1987711,1.8905067920684815,4.82175,160.41731,125.58468,25.06546,26.5450439453125,23.370874023437523,3802.7097,9472.0,0.0
15,-12.945491843926352,131.12535426975052,1.1987711,1.8905067920684815,4.82175,160.41731,125.58468,25.06546,26.5450439453125,23.370874023437523,3802.7097,9472.0,0.0
16,-12.990081949245486,131.11939953232545,1.2544625,1.9388496279716492,5.028559,153.61685,122.998955,24.519226,25.884521484375,22.935595703125045,3052.0,7808.0,0.0
17,-13.035037983124866,131.11842394550408,1.2544625,1.9388496279716492,5.028559,153.61685,122.998955,24.519226,25.884521484375,22.935595703125045,3052.0,7808.0,0.0
18,-13.078508254229446,131.10661669305802,1.2544625,1.9388496279716492,5.028559,153.61685,122.998955,24.519226,25.884521484375,22.935595703125045,3052.0,7808.0,0.0
19,-13.123450855390002,131.108108502069,1.2544625,1.9388496279716492,5.028559,153.61685,122.998955,24.519226,25.884521484375,22.935595703125045,3052.0,7808.0,0.0
20,-13.168261547602135,131.10427289719925,1.3896229,2.129199695587158,5.0991707,162.72462,130.26007,24.451813,25.957080078125045,22.782568359375034,3198.6453,8192.0,0.0
21,-13.213120862289037,131.10109204780682,1.3896229,2.129199695587158,5.0991707,162.72462,130.26007,24.451813,25.957080078125045,22.782568359375034,3198.6453,8192.0,0.0
22,-13.248205002411762,131.1299846983081,1.314598,2.0392719745635985,4.843571,163.06221,131.2222,24.882141,26.41584472656251,23.114160156250023,3963.8708,9785.599999999999,0.0
23,-13.27776604550012,131.1647980663465,1.314598,2.0392719745635985,4.843571,163.06221,131.2222,24.882141,26.41584472656251,23.114160156250023,3963.8708,9785.599999999999,0.0
24,-13.302752609366626,131.2032124112069,1.314598,2.0392719745635985,4.843571,163.06221,131.2222,24.882141,26.41584472656251,23.114160156250023,3963.8708,9785.599999999999,0.0
25,-13.346683618300808,131.2130704189772,1.314598,2.0392719745635985,4.843571,163.06221,131.2222,24.882141,26.41584472656251,23.114160156250023,3963.8708,9785.599999999999,0.0
26,-13.379105373257442,131.24509506703163,1.484547,2.2725934505462644,4.949877,152.90443,133.70526,24.355713,25.991552734375034,22.475122070312523,4150.387,10048.0,64.0
27,-13.406055083633465,131.28209799739156,1.484547,2.2725934505462644,4.949877,152.90443,133.70526,24.355713,25.991552734375034,22.475122070312523,4150.387,10048.0,64.0
28,-13.43931524253738,131.313209147426,1.484547,2.2725934505462644,4.949877,152.90443,133.70526,24.355713,25.991552734375034,22.475122070312523,4150.387,10048.0,64.0
29,-13.471476690360925,131.3455224571361,1.484547,2.2725934505462644,4.949877,152.90443,133.70526,24.355713,25.991552734375034,22.475122070312523,4150.387,10048.0,64.0
30,-13.50397768060182,131.37748364187516,1.4779565,2.210369086265564,5.0282226,156.70766,133.23615,24.177124,25.8909912109375,22.174829101562523,5060.1934,12025.599999999999,128.0
