Longitude;Latitude;Elevation;Distance;Gradient;Maxspeed;Surface
130.887967;-12.432386;16.5;6919.661497;0.003173157;100;paved
130.88879;-12.432397;16.75;7009.03738;0.002797175;100;paved
130.889883;-12.432383;19;7127.733726;0.018955933;100;paved
130.890346;-12.432393;19.5;7178.022034;0.009942669;100;paved
130.891135;-12.432445;20.25;7263.892455;0.00873409;100;paved
130.891796;-12.432524;21.5;7336.204311;0.017286239;100;paved
130.892492;-12.432676;24.75;7413.647992;0.04196598;100;paved
130.893005;-12.432798;26;7470.981337;0.021802321;100;paved
130.893476;-12.432938;27;7524.442655;0.018705113;100;paved
130.893877;-12.433074;28.25;7570.537399;0.027118059;100;paved
130.89428;-12.433231;29;7617.65174;0.01591872;100;paved
130.89489;-12.433497;28;7690.19372;-0.013785121;100;paved
130.895344;-12.433729;26.25;7745.833978;-0.031452047;100;paved
130.895784;-12.433999;23;7802.261965;-0.057595533;100;paved
130.896095;-12.434204;20.5;7843.005754;-0.061359046;100;paved
130.896872;-12.434758;17.75;7947.473012;-0.026324037;100;paved
130.896974;-12.434835;17.5;7961.472365;-0.017857969;100;paved
130.897033;-12.434879;17.5;7969.533497;0;100;paved
130.897308;-12.435071;16.75;8006.241715;-0.020431392;100;paved
130.897502;-12.435225;15.5;8033.389422;-0.046044405;100;paved
130.898404;-12.435883;11.75;8155.645194;-0.030673398;100;paved
130.89856;-12.436;11.75;8177.00401;0;100;paved
130.899753;-12.436888;13.75;8339.887896;0.012278685;100;paved
130.899995;-12.437058;15.25;8372.258358;0.046338541;100;paved
130.900672;-12.437532;18;8462.712935;0.030402;100;paved
130.901272;-12.437908;23.5;8540.125411;0.071047979;100;paved
130.901777;-12.43819;27.25;8603.29337;0.05936554;100;paved
130.90236;-12.438465;30.5;8673.596874;0.046228137;100;paved
130.902976;-12.438718;31.5;8746.160451;0.013781019;100;paved
130.903435;-12.438873;32.25;8798.89679;0.014221692;100;paved
130.903752;-12.438972;33;8835.035599;0.020753313;100;paved
130.904118;-12.439077;33.75;8876.457139;0.018106522;100;paved
130.904516;-12.439169;35.25;8920.868119;0.033775431;100;paved
130.90483;-12.439236;36.5;8955.768148;0.035816589;100;paved
130.905163;-12.439297;37.25;8992.557519;0.020386323;100;paved
130.906386;-12.439499;36.5;9127.242594;-0.005568546;100;paved
130.908573;-12.439854;34.25;9367.975246;-0.009346468;100;paved
130.908989;-12.439931;33.5;9413.95063;-0.016313078;100;paved
130.909182;-12.439974;33;9435.445935;-0.023260893;100;paved
130.909681;-12.440099;33.25;9491.38386;0.00446924;100;paved
130.910153;-12.44024;33;9544.980114;-0.004664505;100;paved
130.910453;-12.440338;32.5;9579.329705;-0.014556214;100;paved
130.910755;-12.440447;31.5;9614.290296;-0.028603636;100;paved
130.911084;-12.440581;30;9652.997272;-0.038752704;100;paved
130.911706;-12.440857;27.5;9727.182281;-0.033699531;100;paved
130.911961;-12.440988;25.25;9758.46901;-0.071915477;100;paved
130.912508;-12.441287;20.75;9826.536558;-0.066110798;100;paved
130.912982;-12.441584;17.5;9887.689393;-0.053145533;100;paved
130.913398;-12.441866;15.75;9942.677199;-0.031825238;100;paved
130.914036;-12.442351;13.75;10030.47009;-0.022780887;100;paved
130.914899;-12.443023;14;10150.32244;0.0020859;100;paved
130.916022;-12.443895;12.75;10306.11281;-0.008023602;100;paved
130.916534;-12.444381;12.75;10383.64427;0;100;paved
130.917021;-12.444938;13.25;10465.08302;0.006139583;100;paved
130.91739;-12.445452;14.75;10534.88239;0.021490166;100;paved
130.917852;-12.446208;15.75;10632.77601;0.01021517;100;paved
130.917884;-12.446261;15.75;10639.61738;0;100;paved
130.918426;-12.447158;16.5;10755.42714;0.006476138;100;paved
130.918867;-12.447888;16.75;10849.6707;0.002652701;80;paved
130.919301;-12.448441;18;10927.14199;0.01613501;80;paved
130.919616;-12.448758;19;10976.25734;0.020360232;80;paved
130.920003;-12.449059;19;11029.97845;0;80;paved
130.920327;-12.449274;16.75;11072.51289;-0.052898314;80;paved
130.920641;-12.449441;15.5;11111.33616;-0.032197187;80;paved
130.92102;-12.449597;14;11155.99465;-0.033588237;80;paved
130.92147;-12.449755;13.25;11207.91836;-0.014444267;80;paved
130.921774;-12.449834;13;11242.07564;-0.007319085;80;paved
130.921887;-12.449857;13;11254.60891;0;80;paved
130.922069;-12.44989;13;11274.70829;0;80;paved
130.922438;-12.449929;13;11315.00838;0;80;paved
130.922653;-12.44994;13;11338.38514;0;80;paved
130.923331;-12.449944;13.25;11412.00383;0.003395877;80;paved
130.923413;-12.449942;13.25;11420.91018;0;80;paved
130.923599;-12.449944;13.25;11441.10732;0;80;paved
130.923872;-12.449942;13.25;11470.75054;0;80;paved
130.924581;-12.44994;14.75;11547.73419;0.019484655;80;paved
130.926153;-12.449952;18;11718.42742;0.019040006;80;paved
130.926525;-12.449975;19.25;11758.90012;0.030885015;80;paved
130.927051;-12.450041;19.75;11816.48285;0.008683159;80;paved
130.927366;-12.450098;19.75;11851.26789;0;80;paved
130.927781;-12.450201;20.25;11897.76135;0.010754199;80;paved
130.928471;-12.450412;20.75;11976.26937;0.006368776;80;paved
130.936261;-12.452886;17.5;12865.71467;-0.003653963;100;paved
130.937715;-12.453358;15.25;13032.0837;-0.013524152;100;paved
130.938204;-12.453522;14.5;13088.22306;-0.013359611;100;paved
130.938435;-12.453604;14.25;13114.91065;-0.009367648;100;paved
130.939666;-12.454063;15;13257.98395;0.005242068;100;paved
130.941011;-12.454607;14.5;13416.05386;-0.003163157;100;paved
130.943339;-12.455641;13.5;13693.74404;-0.003601136;100;paved
130.944677;-12.456243;13.25;13853.70108;-0.00156292;100;paved
130.945862;-12.456775;13.75;13995.31281;0.003530781;100;paved
130.945975;-12.456823;14;14008.6927;0.018684756;100;paved
130.94607;-12.45687;14.25;14020.25595;0.021620222;100;paved
130.94625;-12.456945;14.5;14041.5048;0.011765345;100;paved
130.948687;-12.458039;16.5;14332.73041;0.006867528;100;paved
130.950618;-12.45892;18.25;14564.14907;0.007562052;100;paved
130.951224;-12.45924;18;14638.95138;-0.003342143;100;paved
130.951804;-12.459581;17.5;14712.45978;-0.006801944;100;paved
130.954442;-12.461351;16;15059.98562;-0.004316226;100;paved
130.955201;-12.461816;16.25;15157.27209;0.00256973;100;paved
130.955675;-12.462095;16.75;15217.36416;0.008320565;100;paved
130.956532;-12.462542;18.5;15322.85622;0.016588928;100;paved
130.957544;-12.462988;19;15443.40731;0.004147619;100;paved
130.958718;-12.463394;23.25;15578.63238;0.031429085;100;paved
130.959295;-12.46356;25.75;15643.94255;0.038278878;100;paved
130.959872;-12.463705;28.25;15708.63151;0.038646467;100;paved
130.960284;-12.463779;28.5;15754.11466;0.005496541;100;paved
130.960899;-12.463905;27.75;15822.34192;-0.010992674;100;paved
130.9615;-12.463999;29.75;15888.4269;0.030264062;100;paved
130.962108;-12.464061;30.75;15954.79907;0.015066556;100;paved
130.962715;-12.464103;31.5;16020.8689;0.011351626;100;paved
130.963368;-12.464125;33.25;16091.81006;0.02466833;100;paved
130.963926;-12.464119;35.75;16152.39815;0.041262234;100;paved
130.96451;-12.464093;38;16215.87138;0.035448017;100;paved
130.965161;-12.464039;39.5;16286.8078;0.021145695;100;paved
130.966203;-12.463934;37.75;16400.54306;-0.015386609;100;paved
130.966937;-12.463868;36.75;16480.57381;-0.012495197;100;paved
130.967454;-12.463824;36.5;16536.91956;-0.004436892;100;paved
130.967747;-12.463799;36;16568.85308;-0.015657532;100;paved
130.968012;-12.463786;35.5;16597.66157;-0.017355991;100;paved
130.968295;-12.463775;35;16628.41245;-0.016259696;100;paved
130.96882;-12.463768;34;16685.41931;-0.017541749;100;paved
130.969466;-12.463776;32.75;16755.564;-0.01782031;100;paved
130.969841;-12.463795;31.75;16796.33416;-0.02452774;100;paved
130.970538;-12.463849;28.75;16872.24833;-0.039518317;100;paved
130.971215;-12.463929;26.75;16946.28946;-0.027012012;100;paved
130.972997;-12.464177;25.75;17141.72411;-0.0051168;100;paved
130.97345;-12.464244;25.75;17191.46926;0;100;paved
130.973705;-12.464288;26;17219.58464;0.00889193;100;paved
130.974011;-12.464347;26.25;17253.44987;0.007382204;100;paved
130.974322;-12.464418;26.75;17288.12707;0.014418695;100;paved
130.974632;-12.464502;27.5;17323.05702;0.021471546;100;paved
130.97508;-12.464639;28.5;17374.02789;0.019619051;100;paved
130.97538;-12.464745;29.75;17408.66708;0.036086296;100;paved
130.975794;-12.464907;31.5;17457.09182;0.036138546;100;paved
130.976241;-12.465103;32.5;17510.29326;0.018796486;100;paved
130.976508;-12.465234;33;17542.7364;0.015411575;100;paved
130.976759;-12.465367;33.25;17573.7426;0.008062904;100;paved
130.977099;-12.46556;32.5;17616.44247;-0.017564456;100;paved
130.977317;-12.465694;31.75;17644.41098;-0.026815877;100;paved
130.978879;-12.4667;30.25;17847.57209;-0.007383303;100;paved
130.979998;-12.467426;31.75;17993.44027;0.010283257;80;paved
130.980608;-12.46781;32.25;18072.2408;0.006345135;80;paved
130.980764;-12.467923;32.5;18093.32997;0.011854424;80;paved
130.981744;-12.468546;32.5;18220.29506;0;80;paved
130.982442;-12.468906;33.25;18306.00123;0.008750828;80;paved
130.983286;-12.469277;34;18406.49397;0.007463226;80;paved
130.984222;-12.469574;35.75;18513.34881;0.016377357;80;paved
130.985047;-12.469779;35.25;18605.77565;-0.005409684;80;paved
130.985516;-12.469886;36.25;18658.06738;0.019123484;80;paved
130.986271;-12.470038;37;18741.7634;0.008961;80;paved
